Adam
Agila
Ampera
Antara
Arena
Ascona
Astra
Astra Coupe
Astra F
Astra G
Astra GTC
Astra H
Astra H OTC
Astra J
Astra K
Calibra
Campo
Cascada
Combo
Commodore
Corsa
Crossland X
Frontera
Grandland X
Insignia
Kadett
Manta
Meriva
Mokka
Monterey
Monza
Movano
Olimpia
Omega
P4
Rekord
Senator
Signum
Sintra
Speedster
Super 6
Tigra
Vectra
Vectra A
Vectra B
Vectra C
Vivaro
Zafira
